core_id,Depth,Age,age_calBP-,age_calBP+,d2HC26,C26e,d2HC28,C28e,d2HC24,C24e
10N3-2A,181.25,7062,7191,6930,-185.6,1.5,-178.7,1,-249.25,0.1
10N3-2A,182.25,7090,7215,6961,-189.4,1.8,-184.6,0.1,-242.37,0.7
10N3-2A,184.25,7145,7263,7025,-167.3,0,-165,0,-260.21,0.4
10N3-2A,187.75,7246,7346,7144,-189,0.4,-166.3,0.9,-228.5,18.2
10N3-2A,191.75,7367,7444,7290,-180.9,1,-166.6,3.4,-234.65,4.9
10N3-2A,196.75,7526,7578,7480,-181.1,3,-169.4,0.3,-200.67,1.8
10N3-2A,200.25,7642,7700,7595,-175.2,2.1,-163.8,1,-183.18,2.6
10N3-2A,202.25,7704,7770,7653,-181,1.7,-166.8,1,-185.64,3.1
10N3-2A,204.25,7758,7832,7703,-184.3,3.1,-177,0.8,-195.66,3.1
,-200.47,1.7,-88.82307692,196.9230769,20.07211997,-68.75095695,-108.8951969,,,
