Depth,Age,d18Ochiron,d18Ochiron.e
0,600,4.6,0.4
19,995,4.7,0.4
29,1119,2.9,0.4
39,1180,3.2,0.4
49,1276,2.9,0.4
59,2055,2.8,0.4
81,3333,3.5,0.4
91,4342,1.9,0.4
101,5132,2.2,0.4
111,6098,3.7,0.4
121,7080,1.6,0.4
131,7948,2.8,0.4
141,8697,2.8,0.4
151,9434,3.0,0.4
161,10000,3.4,0.4
