Age,d18O
8850,-26.45
8875,-26.368
8900,-26.046
8925,-25.701
8950,-25.991
8975,-26.018
9000,-26.223
9025,-26.337
9050,-26.809
9075,-26.357
9100,-25.809
9125,-25.942
9150,-26.057
9175,-25.952
9200,-25.919
9225,-25.949
9250,-25.921
9275,-25.806
9300,-26.286
9325,-26.296
9350,-26.055
9375,-26.082
9400,-25.762
9425,-26.345
9450,-26.67
9475,-26.358
9500,-25.805
9525,-25.502
9550,-25.578
9575,-25.819
9600,-25.683
9625,-25.631
9650,-26.189
9675,-25.532
9700,-25.471
9725,-25.62
9750,-25.663
9775,-25.935
9800,-25.904
9825,-25.801
9850,-26.351
9875,-27.318
9900,-26.402
9925,-25.927
9950,-25.66
9975,-25.008
10000,-24.788
10025,-24.932
10050,-25.499
10075,-25.449
10100,-26.127
10125,-25.673
10150,-25.58
10175,-25.758
10200,-25.831
10225,-25.876
10250,-26.003
10275,-26.054
10300,-25.503
10325,-26.38
10350,-26.623
10375,-25.893
10400,-25.564
10425,-26.064
10450,-25.455
10475,-25.543
10500,-25.559
10525,-25.529
10550,-25.906
10575,-25.862
10600,-25.793
10625,-26.038
10650,-26.677
10675,-26.329
10700,-26.299
10725,-26.465
10750,-26.167
10775,-25.851
10800,-26.333
10825,-26.17
10850,-26.268
10875,-26.516
10900,-26.565
10925,-26.876
10950,-27.279
10975,-27.207
11000,-26.796
11025,-26.56
11050,-26.591
11075,-26.659
11100,-26.672
11125,-26.684
11150,-26.948
11175,-26.917
11200,-26.987
11225,-26.896
11250,-26.814
11275,-26.848
11300,-27.173
11325,-27.109
11350,-26.787
11375,-27.177
11400,-27.496
11425,-27.352
11450,-27.348
11475,-27.341
11500,-27.299
11525,-27.154
11550,-27.199
11575,-27.329
11600,-27.466
11625,-27.792
11650,-27.853
11675,-28.363
11700,-30.316
11725,-33.527
11750,-36.805
11775,-37.85
11800,-37.09
11825,-36.122
11850,-35.425
11875,-35.292
11900,-35.135
11925,-35.13
11950,-35.185
11975,-35.237
12000,-34.583
