Source,Lake,nList,nStudy,Latitude,Longitude,Elevation,dD_OIPC_JJA,dD_OIPC_ANN,ANN_CI,OIPC_Year,dD_Lake,Err_Lake,dD_C21,Err_C21,dD_C23,Err_C23,dD_C25,Err_C25,dD_C27,Err_C27,dD_C29,Err_C29,dD_C31,Err_C31,dD_C33,Err_C33
Garcin et al 2012,MORA,157,1,11.05,14.15,438,-12,-23,3,2018,12.4,0.6,,,,,,,,,-170,3,-160,5,,
Garcin et al 2012,RHUM,158,2,10.51,13.58,1028,-19.7,-33,5,2018,-0.7,0.8,,,,,,,,,-167,3,-174,4,,
Garcin et al 2012,MAMG,159,3,8.39,13.71,322,-13,-22,10,2018,5.6,0.6,,,,,,,,,-156,8,-160,5,,
Garcin et al 2012,TIZO,160,4,7.25,13.58,1155,-20.7,-27,4,2018,22.8,0,,,,,,,,,-155,1,-148,9,,
Garcin et al 2012,TABE,161,5,7.13,13.69,1161,-20.3,-26,5,2018,11.4,0.5,,,,,,,,,-167,1,-158,5,,
Garcin et al 2012,ASSO,162,6,6.62,12.98,896,-17.3,-22,8,2018,-4.7,0.8,,,,,,,,,-154,3,-174,3,,
Garcin et al 2012,BALE,163,7,5.55,10.42,1376,-23.3,-32,9,2018,0.6,0.6,,,,,,,,,-150,1,-141,10,,
Garcin et al 2012,MANE,164,8,5.04,9.83,1911,-28.7,-41,10,2018,-6.1,0.3,,,,,,,,,-185,4,-178,8,,
Garcin et al 2012,BARO,165,9,4.65,9.41,304,-12.3,-17,3,2018,2.2,0,,,,,,,,,-164,1,-166,4,,
Garcin et al 2012,DEBU,166,10,4.1,8.98,70,-9.7,-14,0,2018,-8.7,0.7,,,,,,,,,-153,5,-169,2,,
Garcin et al 2012,OSSA,167,11,3.77,10,17,-9,-14,1,2018,-11.9,0.7,,,,,,,,,-147,4,-150,7,,
Freimuth et al 2019a,BLB,168,1,40.68,-82.06,291,-17,-50,2,2019,,,,,,,,,,,-176,3,-169,3,,
